text,llm_label,confidence,gold_label,rule_label,rule_flag,needs_review,corrected_label,ml_label,ml_confidence,ml_flag,final_label,human_reviewed
Artificial intelligence can now AI with Google percent accuracy,tech,0.914,tech,tech,,False,tech,tech,0.66,,tech,False
Developers released version iPhone of the popular algorithm software,tech,0.795,tech,tech,,False,tech,tech,0.744,,tech,False
Developers released version iPhone of the popular algorithm software,tech,0.909,tech,tech,,False,tech,tech,0.744,,tech,False
Artificial intelligence can now iPhone with AI percent accuracy,tech,0.789,tech,tech,,False,tech,tech,0.663,,tech,False
Developers released version cloud of the popular AI software,tech,0.875,tech,tech,,False,tech,tech,0.743,,tech,False
Developers released version iPhone of the popular cloud software,tech,0.718,tech,tech,,False,tech,tech,0.74,,tech,False
The movie five grossed Mystery Night million at the box office,entertainment,0.834,entertainment,entertainment,,False,entertainment,entertainment,0.727,,entertainment,False
Warriors defeated Smith in a thrilling overtime victory,sports,0.816,sports,sports,,False,sports,sports,0.693,,sports,False
Actor Johnson will star in the upcoming Mystery Night film,entertainment,0.931,entertainment,entertainment,,False,entertainment,entertainment,0.701,,entertainment,False
Senator election announced new legislation regarding healthcare policy,politics,0.755,politics,politics,,False,politics,politics,0.728,,politics,False
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.892,entertainment,entertainment,,False,entertainment,entertainment,0.731,,entertainment,False
Congress passed the new Johnson bill with majority support,sports,0.901,politics,politics,rule_suggests_politics_but_llm_predicted_sports,True,politics,politics,0.551,,politics,True
The movie Hollywood Bowl grossed Mystery Night million at the box office,entertainment,0.717,entertainment,entertainment,,False,entertainment,entertainment,0.756,,entertainment,False
Actor Hollywood Bowl will star in the upcoming Johnson film,entertainment,0.842,entertainment,entertainment,,False,entertainment,entertainment,0.688,,entertainment,False
The new algorithm smartphone features algorithm and improved battery life,tech,0.753,tech,tech,,False,tech,tech,0.691,,tech,False
The startup raised algorithm million dollars for their cloud platform,tech,0.921,tech,tech,,False,tech,tech,0.725,,tech,False
Developers released version AI of the popular iPhone software,tech,0.736,tech,tech,,False,tech,tech,0.741,,tech,False
Director Hollywood Bowl announced plans for a five sequel,tech,0.84,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment,entertainment,0.705,,entertainment,True
The new AI smartphone features Google and improved battery life,tech,0.846,tech,tech,,False,tech,tech,0.686,,tech,False
Coach Smith announced new training strategies for the season,sports,0.8,sports,sports,,False,sports,sports,0.742,,sports,False
The president will address the nation about healthcare tomorrow,politics,0.949,politics,politics,,False,politics,politics,0.616,,politics,False
Coach Johnson announced new training strategies for the season,sports,0.723,sports,sports,,False,sports,sports,0.708,,sports,False
Coach Madison Square Garden announced new training strategies for the season,politics,0.738,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.806,,sports,True
The debate between candidates healthcare and election lasted hours,politics,0.87,politics,politics,,False,politics,politics,0.731,,politics,False
The new Google smartphone features algorithm and improved battery life,tech,0.796,tech,tech,,False,tech,tech,0.689,,tech,False
The championship final will be held at Johnson stadium next week,sports,0.817,sports,sports,,False,sports,sports,0.645,,sports,False
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.838,entertainment,entertainment,,False,entertainment,entertainment,0.766,,entertainment,False
Developers released version Google of the popular cloud software,tech,0.87,tech,tech,,False,tech,tech,0.732,,tech,False
The debate between candidates election and Johnson lasted hours,entertainment,0.888,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics,politics,0.747,,politics,True
Smith defeated Lakers in a thrilling overtime victory,sports,0.785,sports,sports,,False,sports,sports,0.682,,sports,False
Coach Warriors announced new training strategies for the season,sports,0.74,sports,sports,,False,sports,sports,0.76,,sports,False
Coach Smith announced new training strategies for the season,entertainment,0.919,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports,sports,0.742,,sports,True
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.825,entertainment,entertainment,,False,entertainment,entertainment,0.717,,entertainment,False
Smith player Smith made an incredible save during the match,sports,0.928,sports,sports,,False,sports,sports,0.654,,sports,False
Developers released version algorithm of the popular Google software,tech,0.775,tech,tech,,False,tech,tech,0.735,,tech,False
Director Action Hero announced plans for a Johnson sequel,entertainment,0.852,entertainment,entertainment,,False,entertainment,entertainment,0.719,,entertainment,False
The new Google smartphone features AI and improved battery life,tech,0.891,tech,tech,,False,tech,tech,0.694,,tech,False
The championship final will be held at Johnson stadium next week,sports,0.895,sports,sports,,False,sports,sports,0.645,,sports,False
Congress passed the new Infrastructure bill with majority support,politics,0.7,politics,politics,,False,politics,politics,0.578,,politics,False
The movie Action Hero grossed Hollywood Bowl million at the box office,entertainment,0.705,entertainment,entertainment,,False,entertainment,entertainment,0.773,,entertainment,False
The startup raised AI million dollars for their AI platform,tech,0.92,tech,tech,,False,tech,tech,0.734,,tech,False
The startup raised cloud million dollars for their algorithm platform,tech,0.777,tech,tech,,False,tech,tech,0.746,,tech,False
Cybersecurity experts warn about new cloud vulnerability,entertainment,0.937,tech,tech,rule_suggests_tech_but_llm_predicted_entertainment,True,tech,tech,0.71,,tech,True
The team scored Madison Square Garden points in yesterday's game against Madison Square Garden,tech,0.904,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports,sports,0.755,,sports,True
The movie five grossed Mystery Night million at the box office,entertainment,0.833,entertainment,entertainment,,False,entertainment,entertainment,0.727,,entertainment,False
Senator Wilson announced new legislation regarding Wilson policy,entertainment,0.819,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics,politics,0.702,,politics,True
The concert at Hollywood Bowl arena sold out in Action Hero minutes,entertainment,0.766,entertainment,entertainment,,False,entertainment,entertainment,0.769,,entertainment,False
Artificial intelligence can now AI with AI percent accuracy,tech,0.806,tech,tech,,False,tech,tech,0.652,,tech,False
Cybersecurity experts warn about new Google vulnerability,tech,0.835,tech,tech,,False,tech,tech,0.704,,tech,False
The debate between candidates Infrastructure and election lasted hours,politics,0.75,politics,politics,,False,politics,politics,0.75,,politics,False
Developers released version iPhone of the popular cloud software,tech,0.949,tech,tech,,False,tech,tech,0.74,,tech,False
Coach Warriors announced new training strategies for the season,sports,0.81,sports,sports,,False,sports,sports,0.76,,sports,False
The team scored Madison Square Garden points in yesterday's game against Johnson,sports,0.73,sports,sports,,False,sports,sports,0.742,,sports,False
Coach Lakers announced new training strategies for the season,sports,0.785,sports,sports,,False,sports,sports,0.749,,sports,False
Congress passed the new Infrastructure bill with majority support,politics,0.758,politics,politics,,False,politics,politics,0.578,,politics,False
The startup raised AI million dollars for their AI platform,tech,0.718,tech,tech,,False,tech,tech,0.734,,tech,False
Voters lined up early to cast ballots in the Johnson election,politics,0.757,politics,politics,,False,politics,politics,0.769,,politics,False
Voters lined up early to cast ballots in the healthcare election,politics,0.915,politics,politics,,False,politics,politics,0.768,,politics,False
The team scored Johnson points in yesterday's game against Johnson,politics,0.77,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.638,,sports,True
The debate between candidates election and Johnson lasted hours,politics,0.835,politics,politics,,False,politics,politics,0.747,,politics,False
The TV show Mystery Night was renewed for five more seasons,entertainment,0.921,entertainment,entertainment,,False,entertainment,entertainment,0.705,,entertainment,False
Coach Lakers announced new training strategies for the season,sports,0.761,sports,sports,,False,sports,sports,0.749,,sports,False
Actor Johnson will star in the upcoming Hollywood Bowl film,entertainment,0.802,entertainment,entertainment,,False,entertainment,entertainment,0.709,,entertainment,False
Actor Mystery Night will star in the upcoming Johnson film,tech,0.808,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment,entertainment,0.698,,entertainment,True
The championship final will be held at Lakers stadium next week,sports,0.817,sports,sports,,False,sports,sports,0.689,,sports,False
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.868,entertainment,entertainment,,False,entertainment,entertainment,0.717,,entertainment,False
The TV show Hollywood Bowl was renewed for Action Hero more seasons,entertainment,0.725,entertainment,entertainment,,False,entertainment,entertainment,0.773,,entertainment,False
Director Action Hero announced plans for a five sequel,entertainment,0.785,entertainment,entertainment,,False,entertainment,entertainment,0.722,,entertainment,False
Director Mystery Night announced plans for a five sequel,entertainment,0.762,entertainment,entertainment,,False,entertainment,entertainment,0.704,,entertainment,False
The startup raised Google million dollars for their iPhone platform,tech,0.812,tech,tech,,False,tech,tech,0.711,,tech,False
The debate between candidates election and Johnson lasted hours,politics,0.77,politics,politics,,False,politics,politics,0.747,,politics,False
Senator healthcare announced new legislation regarding Johnson policy,politics,0.931,politics,politics,,False,politics,politics,0.698,,politics,False
The debate between candidates Infrastructure and Johnson lasted hours,politics,0.915,politics,politics,,False,politics,politics,0.744,,politics,False
The championship final will be held at Madison Square Garden stadium next week,sports,0.713,sports,sports,,False,sports,sports,0.739,,sports,False
The concert at Action Hero arena sold out in Mystery Night minutes,entertainment,0.909,entertainment,entertainment,,False,entertainment,entertainment,0.749,,entertainment,False
Lakers player Warriors made an incredible save during the match,sports,0.932,sports,sports,,False,sports,sports,0.677,,sports,False
The TV show Action Hero was renewed for Action Hero more seasons,entertainment,0.742,entertainment,entertainment,,False,entertainment,entertainment,0.763,,entertainment,False
Director Mystery Night announced plans for a Hollywood Bowl sequel,entertainment,0.753,entertainment,entertainment,,False,entertainment,entertainment,0.748,,entertainment,False
Smith player Madison Square Garden made an incredible save during the match,sports,0.715,sports,sports,,False,sports,sports,0.722,,sports,False
Cybersecurity experts warn about new iPhone vulnerability,tech,0.946,tech,tech,,False,tech,tech,0.715,,tech,False
Coach Smith announced new training strategies for the season,sports,0.896,sports,sports,,False,sports,sports,0.742,,sports,False
Developers released version AI of the popular algorithm software,tech,0.806,tech,tech,,False,tech,tech,0.76,,tech,False
Cybersecurity experts warn about new iPhone vulnerability,tech,0.949,tech,tech,,False,tech,tech,0.715,,tech,False
The championship final will be held at Madison Square Garden stadium next week,sports,0.88,sports,sports,,False,sports,sports,0.739,,sports,False
The debate between candidates Wilson and Johnson lasted hours,politics,0.774,politics,politics,,False,politics,politics,0.738,,politics,False
The new cloud smartphone features Google and improved battery life,tech,0.845,tech,tech,,False,tech,tech,0.68,,tech,False
Voters lined up early to cast ballots in the election election,politics,0.887,politics,politics,,False,politics,politics,0.764,,politics,False
Coach Lakers announced new training strategies for the season,entertainment,0.819,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports,sports,0.749,,sports,True
The startup raised algorithm million dollars for their algorithm platform,tech,0.833,tech,tech,,False,tech,tech,0.729,,tech,False
The championship final will be held at Madison Square Garden stadium next week,entertainment,0.72,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports,sports,0.739,,sports,True
Voters lined up early to cast ballots in the healthcare election,politics,0.849,politics,politics,,False,politics,politics,0.768,,politics,False
Developers released version iPhone of the popular iPhone software,tech,0.759,tech,tech,,False,tech,tech,0.708,,tech,False
Developers released version AI of the popular Google software,entertainment,0.762,tech,tech,rule_suggests_tech_but_llm_predicted_entertainment,True,tech,tech,0.739,,tech,True
Cybersecurity experts warn about new cloud vulnerability,tech,0.855,tech,tech,,False,tech,tech,0.71,,tech,False
The new cloud smartphone features AI and improved battery life,tech,0.846,tech,tech,,False,tech,tech,0.702,,tech,False
Voters lined up early to cast ballots in the Wilson election,politics,0.934,politics,politics,,False,politics,politics,0.775,,politics,False
The TV show five was renewed for five more seasons,entertainment,0.879,entertainment,entertainment,,False,entertainment,entertainment,0.622,,entertainment,False
Cybersecurity experts warn about new iPhone vulnerability,tech,0.799,tech,tech,,False,tech,tech,0.715,,tech,False
Cybersecurity experts warn about new iPhone vulnerability,tech,0.775,tech,tech,,False,tech,tech,0.715,,tech,False
The championship final will be held at Lakers stadium next week,sports,0.888,sports,sports,,False,sports,sports,0.689,,sports,False
Cybersecurity experts warn about new algorithm vulnerability,politics,0.855,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech,tech,0.723,,tech,True
Developers released version AI of the popular AI software,tech,0.725,tech,tech,,False,tech,tech,0.739,,tech,False
Cybersecurity experts warn about new cloud vulnerability,tech,0.826,tech,tech,,False,tech,tech,0.71,,tech,False
The team scored Warriors points in yesterday's game against Warriors,tech,0.92,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports,sports,0.7,,sports,True
Voters lined up early to cast ballots in the Johnson election,politics,0.792,politics,politics,,False,politics,politics,0.769,,politics,False
Senator Wilson announced new legislation regarding Johnson policy,politics,0.908,politics,politics,,False,politics,politics,0.709,,politics,False
The debate between candidates Wilson and Johnson lasted hours,politics,0.853,politics,politics,,False,politics,politics,0.738,,politics,False
Coach Warriors announced new training strategies for the season,sports,0.863,sports,sports,,False,sports,sports,0.76,,sports,False
Senator Infrastructure announced new legislation regarding Infrastructure policy,entertainment,0.775,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics,politics,0.694,,politics,True
The concert at five arena sold out in Hollywood Bowl minutes,entertainment,0.935,entertainment,entertainment,,False,entertainment,entertainment,0.697,,entertainment,False
Warriors player Smith made an incredible save during the match,politics,0.922,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.667,,sports,True
Senator election announced new legislation regarding Johnson policy,politics,0.739,politics,politics,,False,politics,politics,0.716,,politics,False
The championship final will be held at Madison Square Garden stadium next week,sports,0.753,sports,sports,,False,sports,sports,0.739,,sports,False
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.872,entertainment,entertainment,,False,entertainment,entertainment,0.731,,entertainment,False
Artificial intelligence can now cloud with cloud percent accuracy,tech,0.826,tech,tech,,False,tech,tech,0.631,,tech,False
The championship final will be held at Lakers stadium next week,sports,0.927,sports,sports,,False,sports,sports,0.689,,sports,False
Voters lined up early to cast ballots in the Wilson election,entertainment,0.806,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics,politics,0.775,,politics,True
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.701,entertainment,entertainment,,False,entertainment,entertainment,0.704,,entertainment,False
The TV show Action Hero was renewed for Hollywood Bowl more seasons,entertainment,0.859,entertainment,entertainment,,False,entertainment,entertainment,0.788,,entertainment,False
Director Mystery Night announced plans for a five sequel,entertainment,0.885,entertainment,entertainment,,False,entertainment,entertainment,0.704,,entertainment,False
The president will address the nation about Wilson tomorrow,politics,0.807,politics,politics,,False,politics,politics,0.632,,politics,False
The championship final will be held at Lakers stadium next week,politics,0.936,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.689,,sports,True
The startup raised iPhone million dollars for their algorithm platform,tech,0.737,tech,tech,,False,tech,tech,0.746,,tech,False
Director Action Hero announced plans for a Action Hero sequel,politics,0.846,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment,entertainment,0.754,,entertainment,True
Smith defeated Johnson in a thrilling overtime victory,politics,0.71,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.645,,sports,True
Coach Madison Square Garden announced new training strategies for the season,sports,0.933,sports,sports,,False,sports,sports,0.806,,sports,False
Artificial intelligence can now iPhone with Google percent accuracy,tech,0.71,tech,tech,,False,tech,tech,0.652,,tech,False
Actor Action Hero will star in the upcoming Hollywood Bowl film,entertainment,0.871,entertainment,entertainment,,False,entertainment,entertainment,0.783,,entertainment,False
Senator Infrastructure announced new legislation regarding election policy,politics,0.788,politics,politics,,False,politics,politics,0.701,,politics,False
Smith player Lakers made an incredible save during the match,sports,0.919,sports,sports,,False,sports,sports,0.67,,sports,False
The debate between candidates healthcare and Johnson lasted hours,politics,0.887,politics,politics,,False,politics,politics,0.74,,politics,False
The debate between candidates Infrastructure and Infrastructure lasted hours,politics,0.759,politics,politics,,False,politics,politics,0.732,,politics,False
Smith player Madison Square Garden made an incredible save during the match,sports,0.9,sports,sports,,False,sports,sports,0.722,,sports,False
The startup raised AI million dollars for their Google platform,tech,0.803,tech,tech,,False,tech,tech,0.761,,tech,False
Congress passed the new healthcare bill with majority support,politics,0.931,politics,politics,,False,politics,politics,0.564,,politics,False
The startup raised AI million dollars for their algorithm platform,tech,0.803,tech,tech,,False,tech,tech,0.764,,tech,False
The team scored Smith points in yesterday's game against Warriors,sports,0.884,sports,sports,,False,sports,sports,0.726,,sports,False
The startup raised algorithm million dollars for their cloud platform,tech,0.74,tech,tech,,False,tech,tech,0.725,,tech,False
The TV show Mystery Night was renewed for Hollywood Bowl more seasons,entertainment,0.796,entertainment,entertainment,,False,entertainment,entertainment,0.76,,entertainment,False
The TV show Mystery Night was renewed for Action Hero more seasons,politics,0.756,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment,entertainment,0.774,,entertainment,True
Senator Infrastructure announced new legislation regarding Wilson policy,politics,0.815,politics,politics,,False,politics,politics,0.708,,politics,False
Actor Johnson will star in the upcoming five film,entertainment,0.899,entertainment,entertainment,,False,entertainment,entertainment,0.64,,entertainment,False
Voters lined up early to cast ballots in the Infrastructure election,politics,0.706,politics,politics,,False,politics,politics,0.776,,politics,False
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.782,politics,politics,,False,politics,politics,0.728,,politics,False
Coach Johnson announced new training strategies for the season,sports,0.942,sports,sports,,False,sports,sports,0.708,,sports,False
The new AI smartphone features AI and improved battery life,tech,0.86,tech,tech,,False,tech,tech,0.696,,tech,False
The movie Johnson grossed Johnson million at the box office,entertainment,0.945,entertainment,entertainment,,False,entertainment,entertainment,0.609,,entertainment,False
Warriors defeated Smith in a thrilling overtime victory,sports,0.935,sports,sports,,False,sports,sports,0.693,,sports,False
The movie five grossed Johnson million at the box office,politics,0.745,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment,entertainment,0.629,,entertainment,True
The debate between candidates Johnson and Johnson lasted hours,politics,0.766,politics,politics,,False,politics,politics,0.735,,politics,False
Voters lined up early to cast ballots in the Wilson election,tech,0.786,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics,politics,0.775,,politics,True
The team scored Smith points in yesterday's game against Warriors,sports,0.809,sports,sports,,False,sports,sports,0.726,,sports,False
The president will address the nation about healthcare tomorrow,politics,0.729,politics,politics,,False,politics,politics,0.616,,politics,False
The movie Johnson grossed Johnson million at the box office,entertainment,0.748,entertainment,entertainment,,False,entertainment,entertainment,0.609,,entertainment,False
Cybersecurity experts warn about new AI vulnerability,politics,0.7,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech,tech,0.721,,tech,True
Developers released version iPhone of the popular algorithm software,tech,0.835,tech,tech,,False,tech,tech,0.744,,tech,False
Madison Square Garden defeated Warriors in a thrilling overtime victory,sports,0.885,sports,sports,,False,sports,sports,0.758,,sports,False
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.791,entertainment,entertainment,,False,entertainment,entertainment,0.735,,entertainment,False
The president will address the nation about election tomorrow,entertainment,0.93,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics,politics,0.65,,politics,True
The concert at Mystery Night arena sold out in Johnson minutes,entertainment,0.866,entertainment,entertainment,,False,entertainment,entertainment,0.689,,entertainment,False
Voters lined up early to cast ballots in the Infrastructure election,tech,0.827,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics,politics,0.776,,politics,True
Director Hollywood Bowl announced plans for a Hollywood Bowl sequel,entertainment,0.782,entertainment,entertainment,,False,entertainment,entertainment,0.703,,entertainment,False
Actor Action Hero will star in the upcoming five film,entertainment,0.839,entertainment,entertainment,,False,entertainment,entertainment,0.742,,entertainment,False
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.866,entertainment,entertainment,,False,entertainment,entertainment,0.766,,entertainment,False
Coach Madison Square Garden announced new training strategies for the season,sports,0.887,sports,sports,,False,sports,sports,0.806,,sports,False
Actor five will star in the upcoming five film,entertainment,0.842,entertainment,entertainment,,False,entertainment,entertainment,0.66,,entertainment,False
Senator Johnson announced new legislation regarding healthcare policy,politics,0.908,politics,politics,,False,politics,politics,0.672,,politics,False
Voters lined up early to cast ballots in the election election,politics,0.753,politics,politics,,False,politics,politics,0.764,,politics,False
Warriors defeated Lakers in a thrilling overtime victory,sports,0.852,sports,sports,,False,sports,sports,0.688,,sports,False
Senator Johnson announced new legislation regarding Wilson policy,politics,0.81,politics,politics,,False,politics,politics,0.68,,politics,False
Senator election announced new legislation regarding election policy,politics,0.828,politics,politics,,False,politics,politics,0.702,,politics,False
The movie Mystery Night grossed Action Hero million at the box office,entertainment,0.94,entertainment,entertainment,,False,entertainment,entertainment,0.789,,entertainment,False
The team scored Johnson points in yesterday's game against Madison Square Garden,sports,0.865,sports,sports,,False,sports,sports,0.74,,sports,False
The movie Action Hero grossed Mystery Night million at the box office,entertainment,0.866,entertainment,entertainment,,False,entertainment,entertainment,0.775,,entertainment,False
Developers released version AI of the popular Google software,tech,0.723,tech,tech,,False,tech,tech,0.739,,tech,False
Voters lined up early to cast ballots in the Johnson election,politics,0.759,politics,politics,,False,politics,politics,0.769,,politics,False
The new AI smartphone features algorithm and improved battery life,tech,0.902,tech,tech,,False,tech,tech,0.702,,tech,False
The debate between candidates Infrastructure and Johnson lasted hours,sports,0.761,politics,politics,rule_suggests_politics_but_llm_predicted_sports,True,politics,politics,0.744,,politics,True
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.912,politics,politics,,False,politics,politics,0.699,,politics,False
Cybersecurity experts warn about new cloud vulnerability,politics,0.922,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech,tech,0.71,,tech,True
The TV show Action Hero was renewed for Mystery Night more seasons,entertainment,0.88,entertainment,entertainment,,False,entertainment,entertainment,0.799,,entertainment,False
The startup raised algorithm million dollars for their iPhone platform,tech,0.8,tech,tech,,False,tech,tech,0.716,,tech,False
Warriors defeated Johnson in a thrilling overtime victory,entertainment,0.701,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports,sports,0.651,,sports,True
Voters lined up early to cast ballots in the election election,politics,0.893,politics,politics,,False,politics,politics,0.764,,politics,False
The concert at Action Hero arena sold out in Action Hero minutes,politics,0.755,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment,entertainment,0.74,,entertainment,True
Madison Square Garden player Lakers made an incredible save during the match,sports,0.874,sports,sports,,False,sports,sports,0.746,,sports,False
The TV show Action Hero was renewed for Johnson more seasons,entertainment,0.839,entertainment,entertainment,,False,entertainment,entertainment,0.714,,entertainment,False
Coach Madison Square Garden announced new training strategies for the season,sports,0.73,sports,sports,,False,sports,sports,0.806,,sports,False
The concert at Mystery Night arena sold out in five minutes,politics,0.867,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment,entertainment,0.689,,entertainment,True
The championship final will be held at Smith stadium next week,sports,0.849,sports,sports,,False,sports,sports,0.703,,sports,False
The championship final will be held at Lakers stadium next week,sports,0.923,sports,sports,,False,sports,sports,0.689,,sports,False
The debate between candidates Johnson and Wilson lasted hours,politics,0.88,politics,politics,,False,politics,politics,0.741,,politics,False
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.908,entertainment,entertainment,,False,entertainment,entertainment,0.735,,entertainment,False
Senator Wilson announced new legislation regarding Wilson policy,politics,0.924,politics,politics,,False,politics,politics,0.702,,politics,False
The startup raised AI million dollars for their algorithm platform,tech,0.819,tech,tech,,False,tech,tech,0.764,,tech,False
Developers released version AI of the popular algorithm software,tech,0.762,tech,tech,,False,tech,tech,0.76,,tech,False
Cybersecurity experts warn about new iPhone vulnerability,tech,0.891,tech,tech,,False,tech,tech,0.715,,tech,False
Warriors player Lakers made an incredible save during the match,sports,0.857,sports,sports,,False,sports,sports,0.665,,sports,False
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.719,politics,politics,,False,politics,politics,0.699,,politics,False
The championship final will be held at Lakers stadium next week,sports,0.768,sports,sports,,False,sports,sports,0.689,,sports,False
The president will address the nation about election tomorrow,politics,0.835,politics,politics,,False,politics,politics,0.65,,politics,False
The team scored Lakers points in yesterday's game against Lakers,politics,0.796,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.688,,sports,True
Coach Madison Square Garden announced new training strategies for the season,sports,0.753,sports,sports,,False,sports,sports,0.806,,sports,False
Voters lined up early to cast ballots in the healthcare election,politics,0.783,politics,politics,,False,politics,politics,0.768,,politics,False
The movie five grossed Hollywood Bowl million at the box office,entertainment,0.716,entertainment,entertainment,,False,entertainment,entertainment,0.723,,entertainment,False
Director Action Hero announced plans for a five sequel,entertainment,0.797,entertainment,entertainment,,False,entertainment,entertainment,0.722,,entertainment,False
The championship final will be held at Johnson stadium next week,sports,0.937,sports,sports,,False,sports,sports,0.645,,sports,False
The concert at Johnson arena sold out in Mystery Night minutes,tech,0.795,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment,entertainment,0.681,,entertainment,True
Artificial intelligence can now Google with algorithm percent accuracy,politics,0.775,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech,tech,0.653,,tech,True
Coach Madison Square Garden announced new training strategies for the season,sports,0.923,sports,sports,,False,sports,sports,0.806,,sports,False
Coach Madison Square Garden announced new training strategies for the season,sports,0.835,sports,sports,,False,sports,sports,0.806,,sports,False
