text,llm_label,confidence,gold_label
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.868,entertainment
The TV show Hollywood Bowl was renewed for Action Hero more seasons,entertainment,0.725,entertainment
Director Action Hero announced plans for a five sequel,entertainment,0.785,entertainment
Director Mystery Night announced plans for a five sequel,entertainment,0.762,entertainment
The startup raised Google million dollars for their iPhone platform,tech,0.812,tech
The debate between candidates election and Johnson lasted hours,politics,0.77,politics
Senator healthcare announced new legislation regarding Johnson policy,politics,0.931,politics
The debate between candidates Infrastructure and Johnson lasted hours,politics,0.915,politics
The championship final will be held at Madison Square Garden stadium next week,sports,0.713,sports
The concert at Action Hero arena sold out in Mystery Night minutes,entertainment,0.909,entertainment
Lakers player Warriors made an incredible save during the match,sports,0.932,sports
The TV show Action Hero was renewed for Action Hero more seasons,entertainment,0.742,entertainment
Director Mystery Night announced plans for a Hollywood Bowl sequel,entertainment,0.753,entertainment
Smith player Madison Square Garden made an incredible save during the match,sports,0.715,sports
Cybersecurity experts warn about new iPhone vulnerability,tech,0.946,tech
Coach Smith announced new training strategies for the season,sports,0.896,sports
Developers released version AI of the popular algorithm software,tech,0.806,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.949,tech
The championship final will be held at Madison Square Garden stadium next week,sports,0.88,sports
The debate between candidates Wilson and Johnson lasted hours,politics,0.774,politics
The new cloud smartphone features Google and improved battery life,tech,0.845,tech
Voters lined up early to cast ballots in the election election,politics,0.887,politics
Coach Lakers announced new training strategies for the season,entertainment,0.819,sports
The startup raised algorithm million dollars for their algorithm platform,tech,0.833,tech
The championship final will be held at Madison Square Garden stadium next week,entertainment,0.72,sports
Voters lined up early to cast ballots in the healthcare election,politics,0.849,politics
Developers released version iPhone of the popular iPhone software,tech,0.759,tech
Developers released version AI of the popular Google software,entertainment,0.762,tech
Cybersecurity experts warn about new cloud vulnerability,tech,0.855,tech
The new cloud smartphone features AI and improved battery life,tech,0.846,tech
Voters lined up early to cast ballots in the Wilson election,politics,0.934,politics
The TV show five was renewed for five more seasons,entertainment,0.879,entertainment
Cybersecurity experts warn about new iPhone vulnerability,tech,0.799,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.775,tech
The championship final will be held at Lakers stadium next week,sports,0.888,sports
Cybersecurity experts warn about new algorithm vulnerability,politics,0.855,tech
Developers released version AI of the popular AI software,tech,0.725,tech
Cybersecurity experts warn about new cloud vulnerability,tech,0.826,tech
The team scored Warriors points in yesterday's game against Warriors,tech,0.92,sports
Voters lined up early to cast ballots in the Johnson election,politics,0.792,politics
Senator Wilson announced new legislation regarding Johnson policy,politics,0.908,politics
The debate between candidates Wilson and Johnson lasted hours,politics,0.853,politics
Coach Warriors announced new training strategies for the season,sports,0.863,sports
Senator Infrastructure announced new legislation regarding Infrastructure policy,entertainment,0.775,politics
The concert at five arena sold out in Hollywood Bowl minutes,entertainment,0.935,entertainment
Warriors player Smith made an incredible save during the match,politics,0.922,sports
Senator election announced new legislation regarding Johnson policy,politics,0.739,politics
The championship final will be held at Madison Square Garden stadium next week,sports,0.753,sports
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.872,entertainment
Artificial intelligence can now cloud with cloud percent accuracy,tech,0.826,tech
The championship final will be held at Lakers stadium next week,sports,0.927,sports
Voters lined up early to cast ballots in the Wilson election,entertainment,0.806,politics
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.701,entertainment
The TV show Action Hero was renewed for Hollywood Bowl more seasons,entertainment,0.859,entertainment
Director Mystery Night announced plans for a five sequel,entertainment,0.885,entertainment
The president will address the nation about Wilson tomorrow,politics,0.807,politics
The championship final will be held at Lakers stadium next week,politics,0.936,sports
The startup raised iPhone million dollars for their algorithm platform,tech,0.737,tech
Director Action Hero announced plans for a Action Hero sequel,politics,0.846,entertainment
Smith defeated Johnson in a thrilling overtime victory,politics,0.71,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.933,sports
Artificial intelligence can now iPhone with Google percent accuracy,tech,0.71,tech
Actor Action Hero will star in the upcoming Hollywood Bowl film,entertainment,0.871,entertainment
Senator Infrastructure announced new legislation regarding election policy,politics,0.788,politics
Smith player Lakers made an incredible save during the match,sports,0.919,sports
The debate between candidates healthcare and Johnson lasted hours,politics,0.887,politics
The debate between candidates Infrastructure and Infrastructure lasted hours,politics,0.759,politics
Smith player Madison Square Garden made an incredible save during the match,sports,0.9,sports
The startup raised AI million dollars for their Google platform,tech,0.803,tech
Congress passed the new healthcare bill with majority support,politics,0.931,politics
The startup raised AI million dollars for their algorithm platform,tech,0.803,tech
The team scored Smith points in yesterday's game against Warriors,sports,0.884,sports
The startup raised algorithm million dollars for their cloud platform,tech,0.74,tech
The TV show Mystery Night was renewed for Hollywood Bowl more seasons,entertainment,0.796,entertainment
The TV show Mystery Night was renewed for Action Hero more seasons,politics,0.756,entertainment
Senator Infrastructure announced new legislation regarding Wilson policy,politics,0.815,politics
Actor Johnson will star in the upcoming five film,entertainment,0.899,entertainment
Voters lined up early to cast ballots in the Infrastructure election,politics,0.706,politics
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.782,politics
Coach Johnson announced new training strategies for the season,sports,0.942,sports
The new AI smartphone features AI and improved battery life,tech,0.86,tech
The movie Johnson grossed Johnson million at the box office,entertainment,0.945,entertainment
Warriors defeated Smith in a thrilling overtime victory,sports,0.935,sports
The movie five grossed Johnson million at the box office,politics,0.745,entertainment
The debate between candidates Johnson and Johnson lasted hours,politics,0.766,politics
Voters lined up early to cast ballots in the Wilson election,tech,0.786,politics
The team scored Smith points in yesterday's game against Warriors,sports,0.809,sports
The president will address the nation about healthcare tomorrow,politics,0.729,politics
The movie Johnson grossed Johnson million at the box office,entertainment,0.748,entertainment
Cybersecurity experts warn about new AI vulnerability,politics,0.7,tech
Developers released version iPhone of the popular algorithm software,tech,0.835,tech
Madison Square Garden defeated Warriors in a thrilling overtime victory,sports,0.885,sports
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.791,entertainment
The president will address the nation about election tomorrow,entertainment,0.93,politics
The concert at Mystery Night arena sold out in Johnson minutes,entertainment,0.866,entertainment
Voters lined up early to cast ballots in the Infrastructure election,tech,0.827,politics
Director Hollywood Bowl announced plans for a Hollywood Bowl sequel,entertainment,0.782,entertainment
Actor Action Hero will star in the upcoming five film,entertainment,0.839,entertainment
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.866,entertainment
Coach Madison Square Garden announced new training strategies for the season,sports,0.887,sports
Actor five will star in the upcoming five film,entertainment,0.842,entertainment
Senator Johnson announced new legislation regarding healthcare policy,politics,0.908,politics
Voters lined up early to cast ballots in the election election,politics,0.753,politics
Warriors defeated Lakers in a thrilling overtime victory,sports,0.852,sports
Senator Johnson announced new legislation regarding Wilson policy,politics,0.81,politics
Senator election announced new legislation regarding election policy,politics,0.828,politics
The movie Mystery Night grossed Action Hero million at the box office,entertainment,0.94,entertainment
The team scored Johnson points in yesterday's game against Madison Square Garden,sports,0.865,sports
The movie Action Hero grossed Mystery Night million at the box office,entertainment,0.866,entertainment
Developers released version AI of the popular Google software,tech,0.723,tech
Voters lined up early to cast ballots in the Johnson election,politics,0.759,politics
The new AI smartphone features algorithm and improved battery life,tech,0.902,tech
The debate between candidates Infrastructure and Johnson lasted hours,sports,0.761,politics
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.912,politics
Cybersecurity experts warn about new cloud vulnerability,politics,0.922,tech
The TV show Action Hero was renewed for Mystery Night more seasons,entertainment,0.88,entertainment
The startup raised algorithm million dollars for their iPhone platform,tech,0.8,tech
Warriors defeated Johnson in a thrilling overtime victory,entertainment,0.701,sports
Voters lined up early to cast ballots in the election election,politics,0.893,politics
The concert at Action Hero arena sold out in Action Hero minutes,politics,0.755,entertainment
Madison Square Garden player Lakers made an incredible save during the match,sports,0.874,sports
The TV show Action Hero was renewed for Johnson more seasons,entertainment,0.839,entertainment
Coach Madison Square Garden announced new training strategies for the season,sports,0.73,sports
The concert at Mystery Night arena sold out in five minutes,politics,0.867,entertainment
The championship final will be held at Smith stadium next week,sports,0.849,sports
The championship final will be held at Lakers stadium next week,sports,0.923,sports
The debate between candidates Johnson and Wilson lasted hours,politics,0.88,politics
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.908,entertainment
Senator Wilson announced new legislation regarding Wilson policy,politics,0.924,politics
The startup raised AI million dollars for their algorithm platform,tech,0.819,tech
Developers released version AI of the popular algorithm software,tech,0.762,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.891,tech
Warriors player Lakers made an incredible save during the match,sports,0.857,sports
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.719,politics
The championship final will be held at Lakers stadium next week,sports,0.768,sports
The president will address the nation about election tomorrow,politics,0.835,politics
The team scored Lakers points in yesterday's game against Lakers,politics,0.796,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.753,sports
Voters lined up early to cast ballots in the healthcare election,politics,0.783,politics
The movie five grossed Hollywood Bowl million at the box office,entertainment,0.716,entertainment
Director Action Hero announced plans for a five sequel,entertainment,0.797,entertainment
The championship final will be held at Johnson stadium next week,sports,0.937,sports
The concert at Johnson arena sold out in Mystery Night minutes,tech,0.795,entertainment
Artificial intelligence can now Google with algorithm percent accuracy,politics,0.775,tech
Coach Madison Square Garden announced new training strategies for the season,sports,0.923,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.835,sports
Senator Wilson announced new legislation regarding election policy,politics,0.9,politics
Director five announced plans for a Action Hero sequel,entertainment,0.822,entertainment
The president will address the nation about Wilson tomorrow,politics,0.821,politics
The debate between candidates election and Wilson lasted hours,politics,0.867,politics
Artificial intelligence can now cloud with algorithm percent accuracy,tech,0.881,tech
Voters lined up early to cast ballots in the Infrastructure election,politics,0.93,politics
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.834,entertainment
The TV show five was renewed for Johnson more seasons,entertainment,0.848,entertainment
The startup raised AI million dollars for their cloud platform,tech,0.721,tech
Johnson defeated Madison Square Garden in a thrilling overtime victory,sports,0.917,sports
The movie Action Hero grossed Action Hero million at the box office,entertainment,0.765,entertainment
Coach Warriors announced new training strategies for the season,sports,0.814,sports
Developers released version Google of the popular iPhone software,tech,0.92,tech
Warriors defeated Johnson in a thrilling overtime victory,sports,0.938,sports
Voters lined up early to cast ballots in the Johnson election,politics,0.909,politics
The startup raised AI million dollars for their iPhone platform,tech,0.887,tech
The president will address the nation about Johnson tomorrow,tech,0.756,politics
Director Mystery Night announced plans for a Hollywood Bowl sequel,tech,0.71,entertainment
