text,llm_label,confidence,gold_label,rule_label,rule_flag,needs_review,corrected_label
Cybersecurity experts warn about new cloud vulnerability,entertainment,0.937,tech,tech,rule_suggests_tech_but_llm_predicted_entertainment,True,tech
The team scored Madison Square Garden points in yesterday's game against Madison Square Garden,tech,0.904,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports
The movie five grossed Mystery Night million at the box office,entertainment,0.833,entertainment,entertainment,,False,entertainment
Senator Wilson announced new legislation regarding Wilson policy,entertainment,0.819,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics
The concert at Hollywood Bowl arena sold out in Action Hero minutes,entertainment,0.766,entertainment,entertainment,,False,entertainment
Artificial intelligence can now AI with AI percent accuracy,tech,0.806,tech,tech,,False,tech
Cybersecurity experts warn about new Google vulnerability,tech,0.835,tech,tech,,False,tech
The debate between candidates Infrastructure and election lasted hours,politics,0.75,politics,politics,,False,politics
Developers released version iPhone of the popular cloud software,tech,0.949,tech,tech,,False,tech
Coach Warriors announced new training strategies for the season,sports,0.81,sports,sports,,False,sports
The team scored Madison Square Garden points in yesterday's game against Johnson,sports,0.73,sports,sports,,False,sports
Coach Lakers announced new training strategies for the season,sports,0.785,sports,sports,,False,sports
Congress passed the new Infrastructure bill with majority support,politics,0.758,politics,politics,,False,politics
The startup raised AI million dollars for their AI platform,tech,0.718,tech,tech,,False,tech
Voters lined up early to cast ballots in the Johnson election,politics,0.757,politics,politics,,False,politics
Voters lined up early to cast ballots in the healthcare election,politics,0.915,politics,politics,,False,politics
The team scored Johnson points in yesterday's game against Johnson,politics,0.77,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
The debate between candidates election and Johnson lasted hours,politics,0.835,politics,politics,,False,politics
The TV show Mystery Night was renewed for five more seasons,entertainment,0.921,entertainment,entertainment,,False,entertainment
Coach Lakers announced new training strategies for the season,sports,0.761,sports,sports,,False,sports
Actor Johnson will star in the upcoming Hollywood Bowl film,entertainment,0.802,entertainment,entertainment,,False,entertainment
Actor Mystery Night will star in the upcoming Johnson film,tech,0.808,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment
The championship final will be held at Lakers stadium next week,sports,0.817,sports,sports,,False,sports
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.868,entertainment,entertainment,,False,entertainment
The TV show Hollywood Bowl was renewed for Action Hero more seasons,entertainment,0.725,entertainment,entertainment,,False,entertainment
Director Action Hero announced plans for a five sequel,entertainment,0.785,entertainment,entertainment,,False,entertainment
Director Mystery Night announced plans for a five sequel,entertainment,0.762,entertainment,entertainment,,False,entertainment
The startup raised Google million dollars for their iPhone platform,tech,0.812,tech,tech,,False,tech
The debate between candidates election and Johnson lasted hours,politics,0.77,politics,politics,,False,politics
Senator healthcare announced new legislation regarding Johnson policy,politics,0.931,politics,politics,,False,politics
The debate between candidates Infrastructure and Johnson lasted hours,politics,0.915,politics,politics,,False,politics
The championship final will be held at Madison Square Garden stadium next week,sports,0.713,sports,sports,,False,sports
The concert at Action Hero arena sold out in Mystery Night minutes,entertainment,0.909,entertainment,entertainment,,False,entertainment
Lakers player Warriors made an incredible save during the match,sports,0.932,sports,sports,,False,sports
The TV show Action Hero was renewed for Action Hero more seasons,entertainment,0.742,entertainment,entertainment,,False,entertainment
Director Mystery Night announced plans for a Hollywood Bowl sequel,entertainment,0.753,entertainment,entertainment,,False,entertainment
Smith player Madison Square Garden made an incredible save during the match,sports,0.715,sports,sports,,False,sports
Cybersecurity experts warn about new iPhone vulnerability,tech,0.946,tech,tech,,False,tech
Coach Smith announced new training strategies for the season,sports,0.896,sports,sports,,False,sports
Developers released version AI of the popular algorithm software,tech,0.806,tech,tech,,False,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.949,tech,tech,,False,tech
The championship final will be held at Madison Square Garden stadium next week,sports,0.88,sports,sports,,False,sports
The debate between candidates Wilson and Johnson lasted hours,politics,0.774,politics,politics,,False,politics
The new cloud smartphone features Google and improved battery life,tech,0.845,tech,tech,,False,tech
Voters lined up early to cast ballots in the election election,politics,0.887,politics,politics,,False,politics
Coach Lakers announced new training strategies for the season,entertainment,0.819,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports
The startup raised algorithm million dollars for their algorithm platform,tech,0.833,tech,tech,,False,tech
The championship final will be held at Madison Square Garden stadium next week,entertainment,0.72,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports
Voters lined up early to cast ballots in the healthcare election,politics,0.849,politics,politics,,False,politics
Developers released version iPhone of the popular iPhone software,tech,0.759,tech,tech,,False,tech
Developers released version AI of the popular Google software,entertainment,0.762,tech,tech,rule_suggests_tech_but_llm_predicted_entertainment,True,tech
Cybersecurity experts warn about new cloud vulnerability,tech,0.855,tech,tech,,False,tech
The new cloud smartphone features AI and improved battery life,tech,0.846,tech,tech,,False,tech
Voters lined up early to cast ballots in the Wilson election,politics,0.934,politics,politics,,False,politics
The TV show five was renewed for five more seasons,entertainment,0.879,entertainment,entertainment,,False,entertainment
Cybersecurity experts warn about new iPhone vulnerability,tech,0.799,tech,tech,,False,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.775,tech,tech,,False,tech
The championship final will be held at Lakers stadium next week,sports,0.888,sports,sports,,False,sports
Cybersecurity experts warn about new algorithm vulnerability,politics,0.855,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech
Developers released version AI of the popular AI software,tech,0.725,tech,tech,,False,tech
Cybersecurity experts warn about new cloud vulnerability,tech,0.826,tech,tech,,False,tech
The team scored Warriors points in yesterday's game against Warriors,tech,0.92,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports
Voters lined up early to cast ballots in the Johnson election,politics,0.792,politics,politics,,False,politics
Senator Wilson announced new legislation regarding Johnson policy,politics,0.908,politics,politics,,False,politics
The debate between candidates Wilson and Johnson lasted hours,politics,0.853,politics,politics,,False,politics
Coach Warriors announced new training strategies for the season,sports,0.863,sports,sports,,False,sports
Senator Infrastructure announced new legislation regarding Infrastructure policy,entertainment,0.775,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics
The concert at five arena sold out in Hollywood Bowl minutes,entertainment,0.935,entertainment,entertainment,,False,entertainment
Warriors player Smith made an incredible save during the match,politics,0.922,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
Senator election announced new legislation regarding Johnson policy,politics,0.739,politics,politics,,False,politics
The championship final will be held at Madison Square Garden stadium next week,sports,0.753,sports,sports,,False,sports
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.872,entertainment,entertainment,,False,entertainment
Artificial intelligence can now cloud with cloud percent accuracy,tech,0.826,tech,tech,,False,tech
The championship final will be held at Lakers stadium next week,sports,0.927,sports,sports,,False,sports
Voters lined up early to cast ballots in the Wilson election,entertainment,0.806,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.701,entertainment,entertainment,,False,entertainment
The TV show Action Hero was renewed for Hollywood Bowl more seasons,entertainment,0.859,entertainment,entertainment,,False,entertainment
Director Mystery Night announced plans for a five sequel,entertainment,0.885,entertainment,entertainment,,False,entertainment
The president will address the nation about Wilson tomorrow,politics,0.807,politics,politics,,False,politics
The championship final will be held at Lakers stadium next week,politics,0.936,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
The startup raised iPhone million dollars for their algorithm platform,tech,0.737,tech,tech,,False,tech
Director Action Hero announced plans for a Action Hero sequel,politics,0.846,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment
Smith defeated Johnson in a thrilling overtime victory,politics,0.71,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.933,sports,sports,,False,sports
Artificial intelligence can now iPhone with Google percent accuracy,tech,0.71,tech,tech,,False,tech
Actor Action Hero will star in the upcoming Hollywood Bowl film,entertainment,0.871,entertainment,entertainment,,False,entertainment
Senator Infrastructure announced new legislation regarding election policy,politics,0.788,politics,politics,,False,politics
Smith player Lakers made an incredible save during the match,sports,0.919,sports,sports,,False,sports
The debate between candidates healthcare and Johnson lasted hours,politics,0.887,politics,politics,,False,politics
The debate between candidates Infrastructure and Infrastructure lasted hours,politics,0.759,politics,politics,,False,politics
Smith player Madison Square Garden made an incredible save during the match,sports,0.9,sports,sports,,False,sports
The startup raised AI million dollars for their Google platform,tech,0.803,tech,tech,,False,tech
Congress passed the new healthcare bill with majority support,politics,0.931,politics,politics,,False,politics
The startup raised AI million dollars for their algorithm platform,tech,0.803,tech,tech,,False,tech
The team scored Smith points in yesterday's game against Warriors,sports,0.884,sports,sports,,False,sports
The startup raised algorithm million dollars for their cloud platform,tech,0.74,tech,tech,,False,tech
The TV show Mystery Night was renewed for Hollywood Bowl more seasons,entertainment,0.796,entertainment,entertainment,,False,entertainment
The TV show Mystery Night was renewed for Action Hero more seasons,politics,0.756,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment
Senator Infrastructure announced new legislation regarding Wilson policy,politics,0.815,politics,politics,,False,politics
Actor Johnson will star in the upcoming five film,entertainment,0.899,entertainment,entertainment,,False,entertainment
Voters lined up early to cast ballots in the Infrastructure election,politics,0.706,politics,politics,,False,politics
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.782,politics,politics,,False,politics
Coach Johnson announced new training strategies for the season,sports,0.942,sports,sports,,False,sports
The new AI smartphone features AI and improved battery life,tech,0.86,tech,tech,,False,tech
The movie Johnson grossed Johnson million at the box office,entertainment,0.945,entertainment,entertainment,,False,entertainment
Warriors defeated Smith in a thrilling overtime victory,sports,0.935,sports,sports,,False,sports
The movie five grossed Johnson million at the box office,politics,0.745,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment
The debate between candidates Johnson and Johnson lasted hours,politics,0.766,politics,politics,,False,politics
Voters lined up early to cast ballots in the Wilson election,tech,0.786,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics
The team scored Smith points in yesterday's game against Warriors,sports,0.809,sports,sports,,False,sports
The president will address the nation about healthcare tomorrow,politics,0.729,politics,politics,,False,politics
The movie Johnson grossed Johnson million at the box office,entertainment,0.748,entertainment,entertainment,,False,entertainment
Cybersecurity experts warn about new AI vulnerability,politics,0.7,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech
Developers released version iPhone of the popular algorithm software,tech,0.835,tech,tech,,False,tech
Madison Square Garden defeated Warriors in a thrilling overtime victory,sports,0.885,sports,sports,,False,sports
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.791,entertainment,entertainment,,False,entertainment
The president will address the nation about election tomorrow,entertainment,0.93,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics
The concert at Mystery Night arena sold out in Johnson minutes,entertainment,0.866,entertainment,entertainment,,False,entertainment
Voters lined up early to cast ballots in the Infrastructure election,tech,0.827,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics
Director Hollywood Bowl announced plans for a Hollywood Bowl sequel,entertainment,0.782,entertainment,entertainment,,False,entertainment
Actor Action Hero will star in the upcoming five film,entertainment,0.839,entertainment,entertainment,,False,entertainment
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.866,entertainment,entertainment,,False,entertainment
Coach Madison Square Garden announced new training strategies for the season,sports,0.887,sports,sports,,False,sports
Actor five will star in the upcoming five film,entertainment,0.842,entertainment,entertainment,,False,entertainment
Senator Johnson announced new legislation regarding healthcare policy,politics,0.908,politics,politics,,False,politics
Voters lined up early to cast ballots in the election election,politics,0.753,politics,politics,,False,politics
Warriors defeated Lakers in a thrilling overtime victory,sports,0.852,sports,sports,,False,sports
Senator Johnson announced new legislation regarding Wilson policy,politics,0.81,politics,politics,,False,politics
Senator election announced new legislation regarding election policy,politics,0.828,politics,politics,,False,politics
The movie Mystery Night grossed Action Hero million at the box office,entertainment,0.94,entertainment,entertainment,,False,entertainment
The team scored Johnson points in yesterday's game against Madison Square Garden,sports,0.865,sports,sports,,False,sports
The movie Action Hero grossed Mystery Night million at the box office,entertainment,0.866,entertainment,entertainment,,False,entertainment
Developers released version AI of the popular Google software,tech,0.723,tech,tech,,False,tech
Voters lined up early to cast ballots in the Johnson election,politics,0.759,politics,politics,,False,politics
The new AI smartphone features algorithm and improved battery life,tech,0.902,tech,tech,,False,tech
The debate between candidates Infrastructure and Johnson lasted hours,sports,0.761,politics,politics,rule_suggests_politics_but_llm_predicted_sports,True,politics
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.912,politics,politics,,False,politics
Cybersecurity experts warn about new cloud vulnerability,politics,0.922,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech
The TV show Action Hero was renewed for Mystery Night more seasons,entertainment,0.88,entertainment,entertainment,,False,entertainment
The startup raised algorithm million dollars for their iPhone platform,tech,0.8,tech,tech,,False,tech
Warriors defeated Johnson in a thrilling overtime victory,entertainment,0.701,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports
Voters lined up early to cast ballots in the election election,politics,0.893,politics,politics,,False,politics
The concert at Action Hero arena sold out in Action Hero minutes,politics,0.755,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment
Madison Square Garden player Lakers made an incredible save during the match,sports,0.874,sports,sports,,False,sports
The TV show Action Hero was renewed for Johnson more seasons,entertainment,0.839,entertainment,entertainment,,False,entertainment
Coach Madison Square Garden announced new training strategies for the season,sports,0.73,sports,sports,,False,sports
The concert at Mystery Night arena sold out in five minutes,politics,0.867,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_politics,True,entertainment
The championship final will be held at Smith stadium next week,sports,0.849,sports,sports,,False,sports
The championship final will be held at Lakers stadium next week,sports,0.923,sports,sports,,False,sports
The debate between candidates Johnson and Wilson lasted hours,politics,0.88,politics,politics,,False,politics
The TV show Johnson was renewed for Action Hero more seasons,entertainment,0.908,entertainment,entertainment,,False,entertainment
Senator Wilson announced new legislation regarding Wilson policy,politics,0.924,politics,politics,,False,politics
The startup raised AI million dollars for their algorithm platform,tech,0.819,tech,tech,,False,tech
Developers released version AI of the popular algorithm software,tech,0.762,tech,tech,,False,tech
Cybersecurity experts warn about new iPhone vulnerability,tech,0.891,tech,tech,,False,tech
Warriors player Lakers made an incredible save during the match,sports,0.857,sports,sports,,False,sports
Senator Infrastructure announced new legislation regarding Johnson policy,politics,0.719,politics,politics,,False,politics
The championship final will be held at Lakers stadium next week,sports,0.768,sports,sports,,False,sports
The president will address the nation about election tomorrow,politics,0.835,politics,politics,,False,politics
The team scored Lakers points in yesterday's game against Lakers,politics,0.796,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.753,sports,sports,,False,sports
Voters lined up early to cast ballots in the healthcare election,politics,0.783,politics,politics,,False,politics
The movie five grossed Hollywood Bowl million at the box office,entertainment,0.716,entertainment,entertainment,,False,entertainment
Director Action Hero announced plans for a five sequel,entertainment,0.797,entertainment,entertainment,,False,entertainment
The championship final will be held at Johnson stadium next week,sports,0.937,sports,sports,,False,sports
The concert at Johnson arena sold out in Mystery Night minutes,tech,0.795,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment
Artificial intelligence can now Google with algorithm percent accuracy,politics,0.775,tech,tech,rule_suggests_tech_but_llm_predicted_politics,True,tech
Coach Madison Square Garden announced new training strategies for the season,sports,0.923,sports,sports,,False,sports
Coach Madison Square Garden announced new training strategies for the season,sports,0.835,sports,sports,,False,sports
Senator Wilson announced new legislation regarding election policy,politics,0.9,politics,politics,,False,politics
Director five announced plans for a Action Hero sequel,entertainment,0.822,entertainment,entertainment,,False,entertainment
The president will address the nation about Wilson tomorrow,politics,0.821,politics,politics,,False,politics
The debate between candidates election and Wilson lasted hours,politics,0.867,politics,politics,,False,politics
Artificial intelligence can now cloud with algorithm percent accuracy,tech,0.881,tech,tech,,False,tech
Voters lined up early to cast ballots in the Infrastructure election,politics,0.93,politics,politics,,False,politics
The TV show Hollywood Bowl was renewed for five more seasons,entertainment,0.834,entertainment,entertainment,,False,entertainment
The TV show five was renewed for Johnson more seasons,entertainment,0.848,entertainment,entertainment,,False,entertainment
The startup raised AI million dollars for their cloud platform,tech,0.721,tech,tech,,False,tech
Johnson defeated Madison Square Garden in a thrilling overtime victory,sports,0.917,sports,sports,,False,sports
The movie Action Hero grossed Action Hero million at the box office,entertainment,0.765,entertainment,entertainment,,False,entertainment
Coach Warriors announced new training strategies for the season,sports,0.814,sports,sports,,False,sports
Developers released version Google of the popular iPhone software,tech,0.92,tech,tech,,False,tech
Warriors defeated Johnson in a thrilling overtime victory,sports,0.938,sports,sports,,False,sports
Voters lined up early to cast ballots in the Johnson election,politics,0.909,politics,politics,,False,politics
The startup raised AI million dollars for their iPhone platform,tech,0.887,tech,tech,,False,tech
The president will address the nation about Johnson tomorrow,tech,0.756,politics,politics,rule_suggests_politics_but_llm_predicted_tech,True,politics
Director Mystery Night announced plans for a Hollywood Bowl sequel,tech,0.71,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment
