text,gold_label,llm_label,rule_label,ml_label,corrected_label
The awards ceremony will be hosted by 150 next month,entertainment,entertainment,entertainment,entertainment,entertainment
The debate between candidates tax reform and Wilson lasted Martinez hours,politics,politics,politics,politics,politics
Staples Center defeated 42 in a thrilling overtime victory,sports,sports,sports,sports,sports
The president will address the nation about Healthcare tomorrow,politics,entertainment,politics,politics,politics
Musician Hollywood Bowl released a new album featuring Garcia songs,entertainment,entertainment,entertainment,entertainment,entertainment
Mayor 78 proposed changes to the city's five budget,politics,politics,politics,politics,politics
Congress passed the new overwhelming bill with a 78 majority,politics,politics,politics,politics,politics
The startup raised Galaxy million dollars for their Amazon platform,tech,tech,tech,tech,tech
Mayor four proposed changes to the city's infrastructure budget,politics,politics,politics,politics,politics
The new gaming platform smartphone features Microsoft and improved battery life,tech,tech,tech,tech,tech
Mayor Johnson proposed changes to the city's four budget,politics,politics,politics,politics,politics
Artificial intelligence can now Pixel with detect objects percent accuracy,tech,tech,tech,tech,tech
Senator Rodriguez announced new legislation regarding foreign policy,politics,entertainment,politics,politics,politics
Political analysts predict social security will win the upcoming election,politics,entertainment,politics,politics,politics
42 player 67 made an incredible save during the match,sports,sports,sports,sports,sports
The team scored Knicks points in yesterday's game against football,sports,politics,sports,sports,sports
The new fingerprint scanner smartphone features recognize speech and improved battery life,tech,tech,tech,tech,tech
Artificial intelligence can now translate languages with operating system percent accuracy,tech,tech,tech,tech,tech
Political analysts predict Security will win the upcoming election,politics,tech,politics,politics,politics
Ambassador social security met with foreign leaders to discuss climate change relations,politics,politics,politics,politics,politics
The president will address the nation about foreign tomorrow,politics,politics,politics,politics,politics
Celebrity Miller appeared on the talk show to promote Drama Queen,entertainment,entertainment,entertainment,entertainment,entertainment
Director twelve announced plans for a Smith sequel,entertainment,entertainment,entertainment,entertainment,entertainment
